"TTD_id" "gene_name"
"T67658" "SLC2A4"
"T93283" "ACPP"
"T18779" "MUC1"
"T26226" "PRLR"
"T12409" "Bact glmS"
"T95371" "IFNAR1"
"T97353" "ITGA2-ITGB1"
"T44479" "GJA1"
"T51499" "GM2A"
"T48457" "CR1"
"T72038" "LGALS3"
"T07045" "ADCYAP1"
"T16868" "CDH2"
"T06475" "NCL"
"T40192" "NFKB1"
"T37808" "NPR2"
"T03556" "HNF1A"
"T87831" "FPR1"
"T99397" "VDAC1"
"T83905" "CDH3"
"T57034" "PTPRB"
"T93122" "BDNF"
"T86254" "TNC"
"T85554" "CD27"
"T47366" "ACVR2A"
"T50444" "CTGF"
"T03573" "FCGR2B"
"T44589" "CSF2RB"
"T67805" "CD70"
"T39054" "DUT"
"T15497" "PTGER1"
"T54447" "SERPINF1"
"T99909" "HSPA9"
"T79160" "GDNF"
"T99379" "THPO"
"T96894" "LIFR"
"T34596" "Hae-influ gyrA"
"T07394" "NOTCH1"
"T04773" "CXCL12"
"T22032" "PTH2R"
"T51425" "VEGFC"
"T97740" "PPT1"
"T72252" "CASP7"
"T30940" "HSPE1"
"T58093" "Stap-coc def"
"T31825" "HBB"
"T49327" "ABCA4"
"T55936" "MycB pssA"
"T74203" "MycB fbpA"
"T22956" "CDK3"
"T87871" "ROR1"
"T60636" "OGDH"
"T89065" "PLOD1"
"T88656" "NOTCH2"
"T93923" "TNFRSF9"
"T93450" "IL24"
"T48429" "IL15RA"
"T87108" "MSLN"
"T99340" "RIPK1"
"T96892" "MELK"
"T85523" "MYBPC3"
"T17502" "RPE65"
"T94977" "CTF1"
"T55610" "HIF1A"
"T23787" "PFKFB3"
"T23036" "Stap-coc fabI"
"T32764" "AAK1"
"T91023" "RSPO1"
"T56362" "SLC44A4"
"T08123" "LRRK2"
"T00484" "IL23R"
"T45612" "CD276"
"T45968" "RNF43"
"T15855" "DPP8"
"T66252" "DPP9"
"T67063" "KCNMB4"
"T99338" "TMEM173"
"T50823" "SEMA4D"
"T61317" "Malaria fabG"
"T99313" "RGMA"
"T30790" "ORAI1"
"T83687" "TNFRSF13C"
"T60330" "P2RX4"
"T01283" "TSG101"
"T27198" "Stre-coc metG"
"T21434" "CHRNA10"
"T50089" "S1PR5"
"T86271" "KCNN2"
"T19334" "IL21R"
"T60514" "GP6"
"T29741" "NOX4"
"T74238" "CYSLTR2"
"T89054" "Malaria Adss"
"T40010" "EGFL7"
"T45287" "DNPEP"
"T44684" "NOTCH3"
"T64774" "VDAC3"
"T52037" "TLR6"
"T95998" "PCYT1B"
"T15344" "TNFRSF18"
"T93661" "SMAD7"
"T95515" "KRT6A"
"T87259" "ITGAV"
"T15494" "GHR"
"T86803" "STAT3"
"T81103" "CASP2"
"T85228" "CCR3"
"T68766" "DMPK"
"T80011" "EIF4EBP2"
"T37298" "MYCBP"
"T41003" "EPAS1"
"T88697" "ANGPTL3"
"T10383" "PLD2"
"T54093" "T"
"T28213" "FFAR2"
"T42724" "KCNN4"
"T46524" "TNFSF12"
"T74381" "MAGEC1"
"T16144" "ICOSLG"
"T83376" "TUSC2"
"T17710" "HP"
"T67364" "Stre-coc skc"
"T30731" "KNG1"
"T08156" "IFNA5"
"T85072" "HPV E7"
"T53640" "HBV S"
"T13409" "HIV MA"
"T88360" "RSV N"
"T06869" "PDGFA"
"T07533" "APOB"
"T38159" "TFF1"
"T08231" "CD74"
"T87206" "S100B"
"T93627" "HIV gag"
"T39921" "HSPB1"
"T40909" "HRV P3C"
"T11947" "F13B"
"T82958" "CMV gB"
"T02532" "CD2"
"T45591" "NPM1"
"T32780" "ASGR1"
"T17427" "GP1BA"
"T30784" "THBS1"
"T07374" "MSMB"
"T71086" "CFH"
"T59001" "FCGR3A"
"T18972" "CD3G"
"T02702" "Bact DHFR"
"T62187" "HSV UL8"
"T46616" "Bact botA"
"T97111" "CD37"
"T21782" "PCNA"
"T33636" "EBV LMP2"
"T47864" "TDGF1"
"T86323" "NCAM1"
"T19556" "OSM"
"T93121" "ETS2"
"T78319" "CD44"
"T68230" "CD toxA"
"T47863" "EPCAM"
"T50584" "BPI"
"T92963" "NPR3"
"T22350" "ENG"
"T27918" "DDX5"
"T93061" "DDX5"
"T32348" "EGR1"
"T18059" "CR2"
"T95286" "MAG"
"T00750" "FUT3"
"T66161" "FLNA"
"T72042" "GART"
"T21291" "Malaria AMA-1"
"T87689" "NPPC"
"T88729" "UCP1"
"T04911" "HCV NS4B"
"T15783" "KLRC1"
"T49736" "CD6"
"T54347" "Candi CHS3"
"T80020" "L1CAM"
"T95302" "MC5R"
"T75788" "COL18A1"
"T81695" "CD200"
"T83585" "WAS"
"T51693" "MAGEA3"
"T12097" "MAGEA4"
"T77515" "KIR2DS2"
"T92281" "NPTX2"
"T81386" "CDK9-CCNT1"
"T25307" "RORC"
"T25726" "GPC3"
"T16888" "CCL11"
"T76396" "PGGT1B"
"T84560" "UCP2"
"T69146" "UCP3"
"T31818" "ITGA1"
"T65883" "CLDN18"
"T04894" "CCL20"
"T07247" "S100A12"
"T27826" "SPTBN1"
"T57059" "E2F1"
"T30356" "RHD"
"T65198" "NRG1"
"T92030" "REG3A"
"T97766" "CD47"
"T88322" "SSRP1"
"T68517" "HSPB3"
"T25739" "SLC39A6"
"T09058" "TPBG"
"T21865" "SELPLG"
"T61518" "MELK"
"T93995" "NEDD8"
"T75256" "MLANA"
"T99532" "HLA-DRB1"
"T40874" "TIGIT"
"T17248" "MeV F"
"T84885" "PicVir VP1"
"T14110" "KLB"
"T94255" "TRPM4"
"T76233" "Hepatitis A virus HAVCR2"
"T05938" "MUC16"
"T17986" "EZH1"
"T07063" "SLC5A5"
"T01943" "Malaria FabZ"
"T49453" "NOTCH4"
"T57001" "GPA33"
"T54519" "sch PNP"
"T79162" "RSPO3"
"T79747" "PORCN"
"T62241" "IL25"
"T84397" "TUBB1"
"T73696" "RXFP1"
"T23050" "Pseudo lptD"
"T70062" "RTN4"
"T55273" "DLL4"
"T57718" "MAGEC2"
"T96916" "DKK3"
"T06850" "GHRL"
"T95923" "LPAR3"
"T27611" "GDF2"
"T00156" "TRPC5"
"T58741" "SCN8A"
"T02469" "PIKFYVE"
"T25637" "LOXL2"
"T01280" "BACE2"
"T62705" "ICOS"
"T60568" "HIV tat mRNA"
"T62739" "STMN1"
"T16605" "MV NP mRNA"
"T00039" "CTGF"
"T97752" "EV VP24 mRNA"
"T15795" "KCNK3"
"T80024" "MSTN"
"T99394" "TNFRSF13B"
"T81916" "KLF4"
"T37434" "PROM1"
"T92042" "GFRA3"
"T44916" "EED"
"T03046" "KRAS"
"T90572" "IGF2"
"T99557" "TRBC1"
"T97036" "AHSG"
"T15107" "HIV p7"
"T57654" "Influ PB2"
"T02591" "HIV env"
"T00420" "HIV rev"
"T60930" "IGF1"
"T71141" "ITGAV-ITGB6"
"T61544" "SP1"
"T96837" "NIE"
"T02779" "DMD"
"T70532" "NCK1"
"T08884" "Plasm TRAP"
"T58920" "TRH"
"T19852" "FGF7"
"T37876" "HRV VP"
"T97759" "HCV NS1"
"T34997" "HCV NS4A"
"T35289" "KLRK1"
"T66426" "CD34"
"T05351" "MARCKS"
"T09528" "CXCR5"
"T65783" "APLNR"
"T92185" "ADCYAP1R1"
"T28217" "KIR3DL2"
"T38200" "SLC6A11"
"T82277" "CTAG1A"
"T82913" "Malaria MEF-1"
"T08014" "TARDBP"
"T68525" "PTK7"
"T29736" "LAMB3"
"T32720" "KIR2DS1"
"T18872" "KISS1"
"T27736" "PDCD2"
"T84584" "SGCA"
"T66903" "FSCN1"
"T64526" "Stap-coc ClfA"
"T24626" "Hae-influ lpxC"
"T45674" "TMEM97"
"T02262" "KCNT1"
"T11701" "IL31"
"T76855" "Stap-coc tuf"
"T31600" "PKN3"
"T78318" "KCNT2"
"T42521" "Bact stxII"
"T84614" "IL31RA"
"T77990" "Stap-coc isdB"
"T11911" "KCNN1"
"T08499" "NLRP3"
"T27861" "CRBN"
"T85544" "MAPKAP1"
"T77190" "SLITRK6"
"T99704" "VSIR"
"T75643" "NOD2"
"T86748" "CD248"
"T42882" "Pseudo pslG"
"T31329" "Leishm TOP1"
"T83561" "DDIT4"
"T75716" "DLL3"
"T13741" "OGFR"
"T82391" "NDUFA13"
"T91558" "TRPC4"
"T04388" "KCNN3"
"T19368" "LIPG"
"T61547" "Stap-coc MntC"
"T57364" "HIV rev mRNA"
"T09037" "EV VP35 mRNA"
"T01110" "CSF1R"
"T22415" "Pseudo pcrV"
"T23953" "PSCA"
"T66266" "CD7"
"T64987" "EBV LMP1"
"T90286" "FGFR3-TACC3"
"T93798" "CNGA1"
"T54606" "Stap-coc lukF"
"T58772" "MTOR-RPTORA-MLST8-KT1S1-DEPTOR"
"T00890" "HCAR3"
"T28385" "CDH11"
"T16738" "DLK1"
"T86992" "MycB antigens"
"T03410" "MycB mmpL3"
"T34204" "CNGA2"
"T71205" "CLEC12A"
"T84439" "GPR139"
"T98196" "MOCS1"
"T28887" "HDAC8"
"T05387" "TGM2"
"T44818" "TDO2"
"T10822" "CDK8"
"T58298" "ENTPD1"
"T63512" "ENPP2"
"T15776" "PDK1"
"T40812" "PARP2"
"T50973" "KMO"
"T39231" "TNKS"
"T77350" "PSMB8"
"T62841" "F2RL1"
"T12091" "ACVR1"
"T38087" "TNKS2"
"T13176" "EIF2AK3"
"T80886" "BACH1"
"T46526" "Bact FimH"
"T22496" "HTT"
"T83198" "KEAP1"
"T68001" "BTLA"
"T10513" "ITGB2"
"T93062" "ABCB4"
"T20575" "CCR8"
"T63803" "VEGFD"
"T49630" "OLR1"
"T30834" "CALCR-RAMP1/RAMP2/RAMP3"
"T00523" "SLC2A9"
"T51843" "Viru RdRP"
"T49755" "LRP6"
"T11453" "GIP"
"T81503" "Bact gyrB"
"T85309" "CBS"
"T66538" "KCNMA1"
"T22976" "dnk"
"T14231" "LGR5"
"T93325" "SF3B1"
"T47888" "S1PR2"
"T98397" "TYMS"
"T13075" "CSNK1A1"
"T25956" "EP300"
"T00749" "MAP4K1"
"T50445" "CD40"
"T48881" "TNFSF14"
"T73708" "NRP2"
"T01003" "ERN1"
"T34601" "DYSF"
"T35212" "TNFSF15"
"T55703" "RBP4"
"T33976" "TFRC"
"T95616" "ITGAM"
"T73134" "GLB1"
"T64597" "ITGB8"
"T44057" "AQP1"
"T74066" "BMI1"
"T20629" "ADM"
"T85221" "G6PC"
"T44513" "CEACAM6"
"T00852" "MAP3K8"
"T72024" "GALC"
"T59554" "McyB dprE1"
"T94880" "TYRO3"
"T63083" "RAD51"
"T73404" "ALCAM"
"T35423" "VTCN1"
"T26900" "GAD1"
"T16808" "PRMT1"
"T33245" "GDF15"
"T30495" "SIK2"
"T53669" "CRLF2"
"T02974" "IL1RAP"
"T12541" "PI4KB"
"T23359" "APP"
"T27816" "SNCA"
"T95695" "SMN1"
"T54031" "RS1"
"T80002" "LY75"
"T40490" "NCR1"
"T98798" "SLC34A2"
"T56269" "IAPP"
"T78552" "CD59"
"T29774" "LIF"
"T21395" "CD46"
"T33455" "IGFBP3"
"T08029" "CFP"
"T45182" "GRN"
"T84981" "CCR7"
"T81281" "DSG3"
"T15510" "IRS1"
"T82075" "Bact ftsZ"
"T59686" "MECP2"
"T42974" "GAS6"
"T78510" "CNGA3"
"T85507" "SIGLEC15"
"T41171" "IL17D"
"T00496" "PAWR"
"T32227" "CNGB3"
"T45086" "TREM2"
"T11615" "SLC7A11"
"T81830" "SIK3"
"T66540" "TRPV1"
"T03189" "PRAME"
"T96876" "COL7A1"
"T80912" "TCIRG1"
"T20017" "CRTC1"
"T98091" "GPR84"
"T01674" "CEP290"
"T02584" "MycB leuS"
"T03485" "CFB"
"T03672" "ADAM9"
"T06128" "IRS2"
"T06958" "POLB"
"T07931" "LILRB2"
"T08139" "FANCA"
"T08326" "CDK12"
"T09483" "EGR1"
"T10592" "DNM2"
"T10762" "BMP6"
"T15894" "CUL4A/CUL4B-DDB1-CRBN"
"T16087" "TMPRSS6"
"T17485" "MEN1-KMT2A"
"T18356" "LASV GPC"
"T20741" "SLC6A8"
"T23178" "ITGB6"
"T26170" "TNFRSF25"
"T26470" "BCL11A"
"T28093" "FAF1"
"T29036" "CCN2"
"T29345" "MUC17"
"T30827" "PF4"
"T30846" "LILRB4"
"T36479" "CD96"
"T36958" "FOXP3"
"T37012" "GFRAL"
"T37048" "Stap-coc SpA"
"T38201" "TIPARP"
"T38509" "F12"
"T39047" "LAIR1"
"T41380" "LRRC32"
"T41597" "DGAT2"
"T41756" "BKV VP1"
"T42760" "RPS6KB2"
"T43658" "HAO1"
"T43980" "ILDR2"
"T45760" "HRSV L"
"T46052" "LAMP2"
"T46789" "SIRPA"
"T47381" "GSTP1"
"T49105" "PVRIG"
"T49156" "PTPN2"
"T50289" "BMP7"
"T51672" "NFKBIA"
"T52034" "SERPINH1"
"T52098" "OTC"
"T52138" "HBV S mRNA"
"T52489" "RAPGEF3"
"T54789" "RPGR"
"T56349" "CXCL9"
"T57941" "MAGEA6"
"T58679" "PABPC1"
"T59382" "SGCB"
"T59463" "KRAS"
"T59702" "FZD10"
"T62047" "HBV S"
"T65429" "GPR20"
"T65941" "SERPINA1"
"T67089" "SERPINC1"
"T69823" "TP53"
"T70134" "C9orf72"
"T71369" "BCL11A"
"T72514" "IL36G"
"T79051" "EWS-FLI1"
"T79368" "CEBPA"
"T81569" "IKZF2"
"T82105" "CEACAM1"
"T85076" "CBLB"
"T85426" "HBV C"
"T86072" "LRP5"
"T86321" "SULF2"
"T89234" "C5"
"T89251" "BAX"
"T90457" "CD274"
"T90628" "CHM"
"T92678" "MALT1"
"T93480" "UGT1A1"
"T93548" "ITGAV-ITGB8"
"T94781" "HRSV N mRNA"
"T95108" "HLA-G"
"T96723" "SF3B1-SF3B2-SF3B3-SF3B4-SF3B5-SF3B6"
"T97632" "Fung HOS2"
"T98034" "CDK19"
"T98234" "MELTF"
"T98430" "IDUA"
"T63246" "CTNS"
"T63163" "BCKDK"
"T63164" "CDH6"
"T63165" "CCR6"
"T63166" "CLDN6"
"T63168" "ENTPD3"
"T63170" "HAO1"
"T63173" "IKZF3"
"T63174" "IL1RN"
"T63175" "KAT6A"
"T63178" "MAGEA10"
"T63245" "MOGAT2"
"T63182" "N"
"T63183" "PANK3"
"T63187" "TBL1X"
"T63188" "ASPA"
"T63189" "CDC123"
"T63190" "CLN3"
"T63191" "CLN6"
"T63192" "CYP21A2"
"T63193" "DGKZ"
"T63194" "ENPP1"
"T63195" "GAN"
"T63196" "HEXA"
"T63197" "HEXB"
"T63202" "ATP7B"
"T63244" "FGF19"
"T63207" "LANCL2"
"T63208" "LILRA4"
"T63209" "LILRB1"
"T63210" "ALOX12B"
"T63211" "NLRX1"
"T63215" "SEMA3A"
"T63216" "SLIT2"
"T63217" "TGM1"
"T63218" "ACAA2"
"T63243" "GBA1"
"T63221" "KLRG1"
"T63224" "ARG1"
"T63225" "ADAMTS13"
"T63226" "CLEC4C"
"T63229" "IL1RL1"
"T63230" "INHBA"
"T63233" "SORT1"
"T63236" "CCL17"
"T63237" "HSD17B13"
"T63238" "GPR6"
"T63239" "HLA-A"
"T63240" "lepB"
"T63241" "TENT4B"
"T63242" "TENT4A"
"T63160" "APOL1"
"T63161" "ATXN3"
"T63167" "C3"
"T63169" "G6PC1"
"T63177" "LRRK2"
"T63180" "MUC5AC"
"T63184" "AGER"
"T63200" "XDH"
"T63201" "AGT"
"T63203" "ATXN2"
"T63212" "PCCA"
"T63213" "PCCB"
"T63214" "PNPLA3"
"T63222" "USH2A"
"T63227" "FUS"
"T63228" "GFAP"
"T63185" "KRAS"
"T63231" "KIT"
"T63235" "BRAF"
"T63198" "RHO"
"T61746" "CTSB"
"T69375" "MAPK9"
"T14875" "USP14"
"T35445" "SMAD3"
"T42658" "USP7"
"T25315" "CXCR3"
"T10491" "ACKR3"
"T85944" "Pseudo lpxC"
"T56051" "UCHL1"
"T68706" "FURIN"
"T99912" "KYNU"
"T15797" "SMYD2"
"T95183" "USP2"
"T43206" "RORA"
"T83982" "USP8"
"T17067" "USP5"
"T87109" "CSNK1D"
"T82668" "AADAT"
"T53251" "EHMT2"
"T94201" "SRPK1"
"T30420" "KMT5A"
"T89458" "SLC2A1"
"T01521" "GSTO1"
"T00254" "NR1D1"
"T28309" "MCOLN1"
"T12108" "CRY1"
"T05164" "KMT5B"
"T06281" "Klebsiella mrkA"
"T07584" "USP13"
"T14705" "Bact uidA"
"T20534" "Pseudo LasR"
"T35792" "SMYD3"
"T40126" "Pseudo kynU"
"T51908" "CRY2"
"T52036" "USP20"
"T52349" "Ente-cocc fsrC"
"T52910" "USP30"
"T56824" "Vibrio tcpN"
"T65978" "Pseudo MvfR"
"T68490" "KMT5C"
"T73582" "USP10"
"T75819" "FBXO3"
"T79184" "Stap-coc agrA"
"T79401" "DENV E"
"T85241" "CDC20"
"T89573" "Stap-coc srtA"
"T90672" "LGR4"
"T95860" "FOXO4-TP53"
"T63234" "qcrB"
"T81850" "FDFT1"
"T20331" "NPY5R"
"T93566" "ALOX5"
"T69085" "JUN"
"T37735" "GLUL"
"T95446" "POR"
"T27137" "GRM1"
"T11253" "HSPB1"
"T23355" "ITGB3"
"T58940" "HTR3B"
"T32282" "PRL"
"T46642" "ALOX5AP"
"T32855" "NTF3"
"T56625" "TPP2"
"T02752" "CCR3"
"T96736" "RHOA"
"T39523" "PDE7A"
"T29754" "MAPKAPK5"
"T39123" "KISS1R"
"T20578" "PDE7B"
"T58716" "SMPD4"
"T89747" "ABL1"
"T40045" "RRM1"
"T14825" "KDR"
"T62763" "FGF10"
"T92424" "ITGAV-ITGB5"
"T08583" "THBD"
"T26463" "POLA1"
"T77473" "TPT1"
"T92328" "RYR1"
"T45074" "CRAT"
"T73075" "HSPG2"
"T68668" "MAN2A1"
"T03871" "HRAS"
"T16486" "TNF"
"T47087" "HPV E1 mRNA"
"T57211" "CMV DNA polymerase mRNA"
"T53903" "HCV NS3 mRNA"
"T86885" "APOH"
"T62553" "HSV RIR1"
"T71011" "EntBac stxB2"
"T40730" "Bact folB"
"T95399" "PYGM"
"T45737" "FCAR"
"T64242" "CYP46A1"
"T12279" "HPV E2 mRNA"
"T13609" "Leishm CPS"
"T03985" "PJ top2"
"T81694" "HRV P1D"
"T82083" "P2RY4"
"T54931" "CHRNA2-CHRNA3"
"T89772" "SLC18A3"
"T35817" "MSI2"
"T92689" "P2RY11"
"T30802" "CALY"
"T81548" "MycB groL2"
"T86702" "MMP3"
"T98062" "PYGM"
"T16042" "ALOX15"
"T00663" "MAPK10"
"T20973" "CDK5"
"T15700" "CASP8"
"T94324" "HDAC10"
"T77236" "CTSF"
"T93653" "CTSV"
"T30803" "GSR"
"T66925" "F13A1"
"T98459" "CCNB1"
"T07217" "FABP4"
"T06792" "PSMB9"
"T49031" "PSMB5"
"T09022" "PSMB10"
"T64205" "STAT1"
"T46685" "CLK1"
"T79155" "KLK7"
"T04123" "PPP5C"
"T20600" "CASP6"
"T21507" "FABP5"
"T67812" "MGAT2"
"T55986" "PSMB7"
"T29355" "DNMT3A"
"T17036" "KDM4E"
"T34389" "FAAH1"
"T97149" "DYRK3"
"T18904" "KDM4A"
"T00348" "ABL1"
"T92517" "CAPN1"
"T16685" "RET"
"T17134" "RET"
"T17279" "RET"
"T17566" "RET"
"T17919" "RET"
"T18250" "RET"
"T54973" "PSMB6"
"T15848" "TEC"
"T20371" "PRCP"
"T37541" "CA7"
"T73725" "CLK2"
"T63846" "IRAK1"
"T03279" "RPS6KA3"
"T04820" "Malaria Pfmrk"
"T70851" "MAPK7"
"T92803" "DYRK1A"
"T42932" "TLR1"
"T83202" "RPS6KA1"
"T09197" "LRRK2"
"T09977" "LRRK2"
"T62266" "IDO2"
"T24823" "KDM1B"
"T12952" "USP33"
"T98698" "HDAC7"
"T39486" "DYRK2"
"T14894" "CASP10"
"T57050" "ZUP1"
"T42247" "BIRC7"
"T97903" "HDAC11"
"T81452" "ABHD6"
"T73863" "KDM4C"
"T33492" "TDP1"
"T63024" "TBK1"
"T07930" "HDAC5"
"T11808" "KLK5"
"T58307" "PPME1"
"T79400" "KLK4"
"T15441" "UCHL5"
"T17228" "PARP3"
"T80853" "RPSA"
"T90167" "UBC"
"T09128" "CASP2"
"T53469" "CASP4"
"T74307" "BLK"
"T89565" "CASP5"
"T43814" "TIRAP"
"T07191" "MAP4K2"
"T04512" "EZH2"
"T04980" "EZH2"
"T42157" "MAP3K19"
"T44190" "TICAM1"
"T15518" "SLCO2A1"
"T45228" "MBOAT4"
"T16215" "SMO"
"T50035" "PDCD1LG2"
"T39195" "KLK14"
"T03687" "HDAC9"
"T59459" "MAPK8IP1"
"T82720" "DYRK1B"
"T03150" "DAGLA"
"T22104" "GREM1"
"T40890" "GLI1"
"T11824" "MAPT"
"T01271" "BCR-ABL1"
"T80423" "VHL"
"T78710" "KCNJ1"
"T46702" "PLA2R1"
"T03145" "TLR1-TLR2"
"T20958" "NPSR1"
"T80487" "DNMT3L"
"T18551" "CD80-CD274"
"T72491" "KEAP1-NFE2L2"
"T76454" "KEAP1-NFE2L2"
"T80959" "KEAP1-NFE2L2"
"T13629" "PDCD1-CD274"
"T05880" "APH1A-APH1B"
"T79570" "ADAMTS4"
"T98264" "PTPN6"
"T59190" "PRKCZ"
"T21357" "PDE3B"
"T38996" "PLD1"
"T31543" "ST14"
"T20669" "PRKACA"
"T71367" "MAP4K4"
"T73471" "HPN"
"T04831" "EIF2AK2"
"T41666" "Malaria LACZ"
"T62548" "GRK2"
"T64553" "ZAP70"
"T46465" "Malaria PLA2"
"T77613" "PDE1B"
"T63220" "TNK2"
"T52297" "NR1H3"
"T13616" "ILK"
"T83904" "SIRT2"
"T32880" "EGLN1"
"T59654" "PLK2"
"T09672" "PTPN13"
"T20953" "BUB1"
"T05904" "PDE8A"
"T50224" "RPS6KA5"
"T31406" "HCK"
"T40488" "MMP10"
"T88126" "Bact nadD"
"T36725" "CPB1"
"T80526" "CSNK2A2"
"T28052" "KDM5A"
"T08741" "CSK"
"T99990" "BMX"
"T75772" "TMPRSS15"
"T09185" "DDR1"
"T12081" "PDE4C"
"T94449" "PTPRJ"
"T11764" "DDR2"
"T72881" "LTC4S"
"T16596" "PIM3"
"T82262" "CAMKK2"
"T11192" "ADAM33"
"T97537" "LNPEP"
"T52888" "RGS16"
"T42881" "CMV UL80"
"T81780" "UBA1"
"T12241" "CTH"
"T69612" "GRK5"
"T47594" "ACVR1B"
"T52447" "PPID"
"T85115" "PROKR1"
"T11241" "S1PR3"
"T10118" "CTRC"
"T50773" "DPP7"
"T95878" "RPS6KA6"
"T09874" "HCV Core mRNA"
"T58440" "SCN1A"
"T11791" "SLC33A1"
"T83196" "PSIP1"
"T09544" "LGALS1"
"T90751" "MGAT1"
"T03529" "RGS8"
"T12797" "BCL2A1"
"T48812" "RORB"
"T12819" "RFWD2"
"T99295" "PI4KA"
"T88451" "KIT"
"T98134" "NUCB1"
"T03818" "PPARG"
"T85250" "GSK3A"
"T75386" "DGAT1"
"T28043" "RPS6KA2"
"T51385" "FFAR4"
"T75476" "MYD88"
"T96311" "UBA3"
"T77997" "ADAM10"
"T28705" "CASP8"
"T94788" "BCAT2"
"T72444" "Bact fabH"
"T53350" "BMP1"
"T35527" "ALOX12"
"T68698" "AHCY"
"T30823" "CDC25A"
"T19011" "CDC25C"
"T50970" "ECE1"
"T56175" "LSS"
"T86428" "FNTB"
"T62265" "DHPS"
"T55916" "KCNQ4"
"T44515" "MycB nadC"
"T94400" "MycB tmk"
"T09215" "MycB icl"
"T89323" "MAP3K10"
"T96014" "GALE"
"T00820" "KCNJ11"
"T12126" "MAP3K11"
"T26774" "NCOA3"
"T91173" "CHUK"
"T08074" "PDPK1"
"T98315" "SOAT2"
"T48614" "EIF4E"
"T55414" "CSF1R"
"T78393" "MIF"
"T40149" "PRKCH"
"T54779" "RRM2"
"T31032" "MAP2K2"
"T46700" "MAP3K8"
"T06037" "MAPK9"
"T25927" "CASP6"
"T10937" "MDM2"
"T93262" "PRKCE"
"T72295" "PRKCQ"
"T49368" "PRKCD"
"T19923" "BCL2L1"
"T59479" "BIRC3"
"T06559" "ERBB4"
"T41766" "IRAK4"
"T91149" "AKT3"
"T77548" "GRM8"
"T76522" "PDXK"
"T76012" "IMPA2"
"T65879" "CHUK"
"T08280" "Trypano pfk"
"T04361" "MAP3K7"
"T82702" "NR1I2"
"T91605" "TRIM37"
"T63159" "Malaria MFA"
"T36121" "MYC"
"T09694" "GCG"
"T54229" "ANG"
"T62073" "OAT"
"T92750" "CFI"
"T40000" "KLK1"
"T24334" "Bact dut"
"T10091" "RHO"
"T08298" "GZMB"
"T08813" "PRKAR1A"
"T12817" "HSPA8"
"T15851" "UMPS"
"T70310" "Bact ligA"
"T33966" "CPA1"
"T97749" "PCSK2"
"T62815" "ugt3"
"T33367" "GOT1"
"T07466" "Bact murG"
"T77546" "AOC1"
"T11793" "CYP2B6"
"T06365" "AGXT"
"T98089" "DCK"
"T36445" "PCSK1"
"T67754" "TKT"
"T62450" "Candi NMT1"
"T94621" "AKT2"
"T90358" "Fung PIK1"
"T83174" "PRKCI"
"T67818" "P2RY1"
"T75517" "GMPS"
"T96862" "MVD"
"T92557" "BCAT1"
"T70234" "EPHA4"
"T89082" "HMGCS2"
"T86829" "Fung SDH1"
"T38257" "PTEN"
"T88752" "RAC1"
"T52617" "MycB kasA"
"T59445" "SORD"
"T48330" "SLC7A5"
"T78326" "NAAA"
"T14945" "CENPE"
"T47164" "STK4"
"T40787" "MTAP"
"T17143" "MAP2K5"
"T91681" "TDG"
"T80338" "ACVR2B"
"T60213" "BMPR2"
"T07087" "PTK2B"
"T67231" "MBTPS1"
"T61243" "GRM7"
"T17967" "PDK2"
"T55826" "Malaria SHMT"
"T98275" "KAT6B"
"T16902" "KAT2B"
"T53612" "KLK6"
"T61792" "ABCC2"
"T30414" "F2RL3"
"T84359" "Stre-coc cmk"
"T77139" "MAP3K3"
"T94594" "Pseudo nadD"
"T44614" "Malaria CPF2"
"T18390" "LATS2"
"T91959" "SIRT3"
"T13795" "CHRNA9"
"T92460" "GDA"
"T73502" "WWP2"
"T57292" "HIV RT mRNA"
"T68227" "JUN"
"T64977" "IGF1R"
"T58074" "MMP2"
"T93690" "MMP9"
"T06413" "PRKCA"
"T04084" "ERBB3"
"T95594" "PIK3CB"
"T91292" "MTHFR"
"T58474" "RHOA"
"T74258" "PRKCZ"
"T28444" "DUSP8"
"T83398" "DUSP5"
"T11747" "MAP3K3"
"T00564" "DUSP9"
"T91154" "WWP1"
"T25386" "DICER1"
"T52501" "MAP3K2"
"T01054" "WWP2"
"T71374" "PLK4"
"T70027" "TOR1A"
"T59537" "PKMYT1"
"T53159" "MAP2K7"
"T42447" "DCLK1"
"T56108" "TRIM24"
"T01282" "TMPRSS2"
"T92189" "OGG1"
"T15139" "PHGDH"
"T81623" "DAPK3"
"T39519" "SUV39H1"
"T74483" "KCNQ2"
"T13453" "GALR2"
"T43289" "KLK8"
"T78019" "PTP4A3"
"T79307" "ULK1"
"T25690" "CS"
"T78205" "TRPM2"
"T68470" "USP1"
"T33969" "ABCB11"
"T04696" "TDP2"
"T13086" "NTN1"
"T26748" "NUDT3"
"T15053" "LDHA"
"T95408" "Bact sodA"
"T67942" "Bact metB"
"T16650" "CGA"
"T25136" "HIV RNH"
"T36729" "CYBB"
"T79476" "Bact ilvA"
"T67258" "SERPIND1"
"T49948" "Bact metC"
"T54316" "GPI"
"T70654" "GPX1"
"T29083" "FES"
"T51464" "CNP"
"T26617" "LCT"
"T49627" "MycB cyp121"
"T80855" "MycB aac"
"T54065" "Bact aroA"
"T91895" "Bact coaA"
"T13236" "Bact ribB"
